date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-12-03,7.83,7.89,7.84,7.8,66367.22,0.01,0.13,7.736,7.762,7.801,90136.71,83712.01,99561.08,0.48
2021-12-02,7.91,7.94,7.83,7.8,83923.66,-0.02,-0.26,7.706,7.768,7.794,93484.3,86517.34,101606.68,0.6
2021-12-01,7.57,7.88,7.85,7.56,128385.53,0.25,3.29,7.696,7.774,7.777,90373.36,94616.48,99475.04,0.92
2021-11-30,7.58,7.66,7.6,7.56,75133.18,0.04,0.53,7.702,7.805,7.759,80224.74,110913.96,95469.26,0.54
2021-11-29,7.58,7.66,7.56,7.53,96873.97,-0.13,-1.69,7.742,7.848,7.748,79951.13,124825.89,94869.18,0.7
2021-11-26,7.77,7.82,7.69,7.68,83105.16,-0.09,-1.16,7.788,7.876,7.747,77287.31,124029.39,92797.18,0.6
2021-11-25,7.86,7.88,7.78,7.77,68368.96,-0.1,-1.27,7.83,7.88,7.738,79550.39,120948.19,92356.66,0.49
2021-11-24,7.77,7.92,7.88,7.74,77642.44,0.08,1.03,7.852,7.881,7.716,98859.59,121345.15,92954.02,0.56
2021-11-23,7.79,7.84,7.8,7.72,73765.1,0.01,0.13,7.908,7.864,7.694,141603.18,119971.7,92032.38,0.53
2021-11-22,7.89,7.94,7.79,7.79,83554.9,-0.11,-1.39,7.954,7.851,7.683,169700.65,117512.69,90658.45,0.6
2021-11-19,7.89,7.94,7.9,7.82,94420.53,0.01,0.13,7.964,7.84,7.671,170771.47,115410.15,88978.91,0.68
2021-11-18,8.03,8.1,7.89,7.88,164914.98,-0.27,-3.31,7.93,7.819,7.656,162345.99,116696.02,86667.04,1.18
2021-11-17,8.03,8.47,8.16,7.87,291360.38,0.13,1.62,7.91,7.78,7.643,143830.7,104333.61,83023.13,2.09
2021-11-16,7.85,8.19,8.03,7.8,214252.45,0.19,2.42,7.82,7.713,7.623,98340.22,80024.55,71390.31,1.54
2021-11-15,7.71,7.88,7.84,7.71,88909.0,0.11,1.42,7.748,7.648,7.61,65324.73,64912.47,64171.85,0.64
2021-11-12,7.78,7.79,7.73,7.71,52293.12,-0.06,-0.77,7.716,7.618,7.609,60048.83,61564.97,63007.19,0.38
2021-11-11,7.7,7.81,7.79,7.67,72338.55,0.08,1.04,7.708,7.596,7.614,71046.05,63765.13,64288.9,0.52
2021-11-10,7.66,7.77,7.71,7.66,63908.0,0.04,0.52,7.65,7.55,7.621,64836.52,64562.9,64410.69,0.46
2021-11-09,7.68,7.75,7.67,7.63,49175.0,-0.01,-0.13,7.606,7.523,7.629,61708.88,64093.05,63884.28,0.35
2021-11-08,7.68,7.74,7.68,7.65,62529.46,-0.01,-0.13,7.548,7.514,7.64,64500.2,63804.2,65075.58,0.45
2021-11-05,7.5,7.75,7.69,7.49,107279.22,0.19,2.53,7.52,7.501,7.654,63081.11,62547.68,66326.99,0.77
2021-11-04,7.5,7.55,7.5,7.45,41290.91,0.01,0.13,7.484,7.493,7.668,56484.21,56638.05,65352.9,0.3
2021-11-03,7.38,7.51,7.49,7.33,48269.8,0.11,1.49,7.45,7.506,7.686,64289.28,61712.65,67463.13,0.35
2021-11-02,7.52,7.55,7.38,7.33,63131.61,-0.16,-2.12,7.44,7.532,7.704,66477.23,62756.08,70232.89,0.45
2021-11-01,7.46,7.61,7.54,7.46,55434.03,0.03,0.4,7.48,7.572,7.731,63108.21,63431.24,71006.96,0.4
2021-10-29,7.33,7.57,7.51,7.31,74294.7,0.18,2.46,7.482,7.599,7.747,62014.24,64449.42,76936.51,0.53
2021-10-28,7.43,7.48,7.33,7.28,80316.28,-0.11,-1.48,7.502,7.631,7.774,56791.9,64812.66,80221.17,0.58
2021-10-27,7.54,7.62,7.44,7.43,59209.53,-0.14,-1.85,7.562,7.691,7.818,59136.02,64258.48,84296.29,0.43
2021-10-26,7.55,7.65,7.58,7.54,46286.5,0.03,0.4,7.624,7.735,7.86,59034.92,63675.52,85637.82,0.33
2021-10-25,7.6,7.62,7.55,7.53,49964.18,-0.06,-0.79,7.664,7.765,7.894,63754.27,66346.96,88688.89,0.36
2021-10-22,7.63,7.66,7.61,7.6,48183.0,-0.02,-0.26,7.716,7.806,7.939,66884.6,70106.31,92579.99,0.35
2021-10-21,7.76,7.76,7.63,7.63,92036.87,-0.12,-1.55,7.76,7.843,7.982,72833.43,74067.75,94623.06,0.66
2021-10-20,7.76,7.81,7.75,7.73,58704.06,-0.03,-0.39,7.82,7.865,8.021,69380.94,73213.61,96755.3,0.42
2021-10-19,7.81,7.84,7.78,7.77,69883.23,-0.03,-0.38,7.846,7.875,8.065,68316.11,77709.7,97991.55,0.5
2021-10-18,7.82,7.85,7.81,7.76,65615.83,-0.02,-0.26,7.866,7.889,8.107,68939.64,78582.67,100401.12,0.47
2021-10-15,7.97,7.97,7.83,7.82,77927.15,-0.1,-1.26,7.896,7.894,8.154,73328.02,89423.61,101634.89,0.56
2021-10-14,7.91,7.94,7.93,7.81,74774.45,0.05,0.64,7.926,7.916,8.202,75302.06,95629.67,106506.57,0.54
2021-10-13,7.87,7.93,7.88,7.86,53379.88,0.0,0.0,7.91,7.944,8.235,77046.28,104334.11,107115.56,0.38
2021-10-12,7.96,7.96,7.88,7.85,73000.91,-0.08,-1.0,7.904,7.985,8.27,87103.28,107600.13,109330.06,0.52
2021-10-11,8.0,8.06,7.96,7.94,87557.72,-0.02,-0.25,7.912,8.022,8.307,88225.7,111030.82,113900.47,0.63
2021-10-08,7.92,8.0,7.98,7.89,87797.36,0.13,1.66,7.892,8.071,8.33,105519.2,115053.68,113887.75,0.63
2021-09-30,7.87,7.89,7.85,7.81,83495.53,0.0,0.0,7.906,8.12,8.355,115957.27,115178.37,116051.87,0.6
2021-09-29,7.82,7.9,7.85,7.79,103664.89,-0.07,-0.88,7.978,8.176,8.382,131621.93,120297.0,121362.0,0.74
